186.5,1000
211.9,1100
233.1,1200
251.1,1300
266.4,1400
279.8,1500
291.4,1600
301.7,1700
310.8,1800
319,1900
326.4,2000
333,2100
339.1,2200
344.6,2300
349.7,2400
354.4,2500
358.7,2600
362.6,2700
366.3,2800
369.8,2900
373,3000
372.9,3100
372.6,3200
372.2,3300
371.6,3400
370.8,3500
369.8,3600
368.7,3700
367.3,3800
365.8,3900
364.2,4000
362.3,4100
360.3,4200
358.1,4300
355.7,4400
353.1,4500
350.4,4600
347.4,4700
344.3,4800
341.1,4900
337.6,5000
334,5100
330.2,5200
326.2,5300
322.1,5400
317.7,5500
312.1,5600
306.6,5700
301.3,5800
296.2,5900
291.2,6000
285.3,6100
277.3,6200
267.4,6300
255.6,6400
